Country,Emergency,Police,Ambulance,Fire,Call Codes
Afghanistan,,119,102,119,93
Albania,,129,127,128,355
Algeria,,17,14,14,213
American Samoa,911,,,,1684
Andorra,112,110,118,118,376
Angola,,113,112,115,244
Anguilla,911,,,,1264
Antigua & Barbuda,911 or 999,,,,1268
Argentina,911,101,107,100,54
Armenia,911 or 112,102,103,101,374
Aruba,911,,,,297
Ascension Island,999,,,,247
Australia,"000, 112 mobiles
0 landlines",,,,61
Austria,112,113,144,122,43
Azerbaijan,,102,103,101,94
Bahamas,"911 or 919
112 mobiles",,,,1242
Bahrain,999,,,,973
Bangladesh,,999,199,9 555 555,880
Barbados,,211,511,311,1246
Belarus,,102,103,101,375
Belgium,112,101,100,100,32
Belize,911,,,,501
Benin,,117,112,118,229
Bermuda,911,,,,1441
Bhutan,,113,112,110,975
Bolivia,,110,118,119,591
Bosnia & Herzegovina,,122,124,123,387
Botswana,997 or 911,,,,267
Brazil,,190,192,193,55
British Indian Ocean Territory,,,,,246
British Virgin Islands,999 or 911,,999,999,1284
Brunei,,993,991,995,673
Bulgaria,112,,,,359
Burkina Faso,,17,112,18,226
Burundi,,117,112,118,257
Cambodia,,117,119,118,855
Cameroon,,17,,18,237
Canada,911,,,,1
Cape Verde / Cabo Verde,,132,130,131,238
Cayman Islands,911,,,,1345
Central African Republic,,117,1220,118,236
Chad,,17,2251-4242,18,235
Chile,,133,131,132,56
China,,110,120,119,86
Christmas Island,0,,,,61891
Cocos (Keeling) Islands,0,,,,61891
Colombia,112 or 123,156,132,119,57
Comoros,,17,772-03-73,18,269
DR Congo / Democratic Republic of the Congo,,,,118,243
Congo / Congo Republic,,112,,118,242
Cook Islands,,999,998,996,682
Costa Rica,112 or 911,,,,506
Côte d’Ivoire / Ivory Coast,,111,185,180,225
Croatia,112,192,194,193,385
Cuba,,106,104,105,53
Curaçao / Curacao,,911,912,911,599
Cyprus,112 or 199,,,,357
Northern Cyprus,112,155,,199,357
Czechia / Czech Republic,112,158,155,150,420
Denmark,112,,,,45
Djibouti,,17,351351,18,253
Dominica,999,,,,1767
Dominican Republic,112 or 911,,,,1809/829/849
East Timor / Timor-Leste,112,,,,670
Ecuador,911,101,911,102,593
Egypt,,122,123,180,20
El Salvador,911,,,,503
Equatorial Guinea,,114,112,155,240
Eritrea,,113,114,116,291
Estonia,112,,,,372
Eswatini (Swaziland),,999,977,933,268
Ethiopia,911,991,907,939,251
Falkland Islands,999,,,,500
Faroe Islands,112,298 351448,1870,298 314544,298
Fiji,,911,911,9170,679
Finland,112,,,,358
France,112,17,15,18,33
French Guiana,112,17,15,18,594
French Polynesia,112,17,15,18,689
Gabon,,1730,1300,18,241
Gambia,,117 or 112,116,118,220
Georgia,112,,,,995
Germany,112,110,,,49
Ghana,999,191,193,192,233
Gibraltar,112 or 199,,190,190,350
Greece,112,100,166,199,30
Greenland,112 mobiles only,,,,299
Grenada,911,,,,1473
Guadeloupe,,17,15,18,590
Guam,911,,,,1671
Guatemala,,"110, 120","122, 123 or 1554","122, 123 or 1554",502
Guinea,,122,442-020,1717,224
Guinea-Bissau,112,117,119,118,245
Guyana,112,,913,912,592
Haiti,118,,,,509
Honduras,199,,,,504
Hong Kong,"999 on landlines
112 on mobiles",,,,852
Hungary,112,107,104,105,36
Iceland,112,,,,354
India,108,100,102,101,91
Indonesia,,110,118 or 119,113,62
Iran,112 on mobiles,110,115,125,98
Iraq,122,104,,115,964
Ireland,112 or 199,,,,353
Israel,,100,101,102,972
Italy,112,113,118,115,39
Jamaica,,119,110,110,1876
Japan,,110,119,119,81
Jordan,112 or 911,,,,962
Kazakhstan,112,"102, 02","103, 03","101, 01",7-6xx
Kenya,999,,,,254
Kiribati,,992,994,993,686
North Korea,112 or 119,,,,850
South Korea,,112,119,119,82
Kosovo,112,,,,383
Kuwait,112,,,,965
Kyrgyzstan,,102,103,101,996
Laos / Lao,,191,195,190,856
Latvia,112,2,3,1,371
Lebanon,,112 or 999,140,175,961
Lesotho,,123,121,122,266
Liberia,911,,,,231
Libya,1515,,,193,218
Liechtenstein,112,117,144,118,423
Lithuania,112,,,,370
Luxembourg,112,113,,,352
Macao,"999
110 or 112 on mobiles",,,,853
Madagascar,,117,124,118,261
Malawi,,997 or 990,998,999,265
Malaysia,112 or 999,,,,60
Maldives,102,119,102,118,960
Mali,,18,15,17,223
Malta,112,,,,356
Marshall Islands,911,,,,692
Martinique,,17,15,18,596
Mauritania,,117,101,118,222
Mauritius,999,,,,230
Mayotte,,17,15,18,262
Mexico,911 or 066,66,65,68,52
"Micronesia, Federated States of",911,,,,691
Moldova,112,122,124,123,373
Monaco,112,,,,377
Mongolia,100,102,103,101,976
Montenegro,112,102,124,123,382
Montserrat,,999,911,911,1664
Morocco,,19,15,15,212
Mozambique,,119,117,198,258
Myanmar (Burma),191,,,,95
Namibia,112,,,,264
Nauru,,110,111,112,674
Nepal,112 on mobiles,100 or 103,102,101,977
Netherlands,112,,,,31
New Caledonia,112,17,15,18,687
New Zealand,111,,,,64
Nicaragua,118,,,,505
Niger,,17,15,18,227
Nigeria,119,,,,234
Niue,999,,,,683
Norfolk Island,999,977,911,955,672
North Macedonia,112,194,192,193,389
Northern Mariana Islands,911,,,,1670
Norway,,112,113,110,47
Oman,999,,,,968
Pakistan,"15, 1122 landlines
112 mobiles",15,115,16,92
Palau,911,,,,680
Palestinian Territories,,,,,92
Panama,911,,,,507
Papua New Guinea,111,,,,675
Paraguay,911,,,,595
Peru,,105,117,116,51
Philippines,"117, 112 and 911",,,,63
Pitcairn Islands,,,,,64
Poland,112,997,999,998,48
Portugal,112,,,,351
Puerto Rico,911,,,,1787
Qatar,999,,,,974
Réunion,112,17,15,18,262
Romania,112,,,,40
Russia,112,,,,7
Rwanda,112,,,,250
Saint Helena,,999,911,999,290
Saint Kitts & Nevis,,911,911,333,1869
Saint Lucia,911 or 999,,,,1758
Saint Martin,,911,912,910,33
Saint Pierre & Miquelon,,17,15,18,508
Saint Vincent & Grenadines,999 or 911,,,,1784
Samoa,999,995,996,994,685
San Marino,,113,118,115,378
São Tomé & Príncipe,,222222,"221221, 221222 & 221234",112,239
Saudi Arabia,,999,997,998,966
Senegal,,17,15,18,221
Serbia,112,192,194,193,381
Seychelles,112 or 999,133,151,,248
Sierra Leone,,999,999,19,232
Singapore,112 on foreign mobiles,999,995,995,65
Slovakia,112,158,155,150,421
Slovenia,112,113,,,386
Solomon Islands,999,,,,677
Somalia,,888,999,555,252
South Africa,112 on mobiles,10111,10177,10111,27
South Georgia & South Sandwich Islands,999,,,,500
South Sudan,999,,,,211
Spain,112,,,,34
Sri Lanka,,"119, 118",110,111,94
Sudan,999,,,,249
Suriname,115,,,,597
Sweden,112,,,,46
Switzerland,112,117,144,118,41
Syria,,112,110,113,963
"Taiwan, Republic of China",112 on mobiles,110,119,119,886
Tajikistan,112 on mobiles,102,103,101,992
Tanzania,112,,,,255
Thailand,,191,1669,199,66
Togo,,117 or 161,8200,118,228
Tokelau,,,,,690
Tonga,911,922,933,999,676
Trinidad & Tobago,,999,990,990,1868
Tunisia,,197,190,198,216
Turkey,112,,,,90
Turkmenistan,112,102,103,101,993
Turks & Caicos Islands,911 or 999,,,,1649
Tuvalu,,911,,,688
Uganda,"199, 112 mobiles","199, 112 mobiles",,,256
Ukraine,112,,,,380
United Arab Emirates,,"999, 112","999, 998",997,971
"United Kingdom (UK; England, Scotland, Wales, Northern Island)",112 0r 999,999 or 112,999,999,44
United States of America,911,,,,1
Uruguay,911,,,,598
Uzbekistan,,102,103,101,998
Vanuatu,112,,,,678
Vatican City / Holy See,,113,118,115,39/379
Venezuela,171,,,,58
Vietnam,,113,115,114,84
United States Virgin Islands,911,,,,1340
Wallis & Futuna,,18,15,17,681
Western Sahara,150,,,,212
Yemen,199,,,,967
Zambia,112,999,993,991,260
Zimbabwe,999,995,994,993,264
